drug,chirality,alogp,aromatic rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy atoms,acid,base,neutral,zwitterion,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,oral administration,parentreral,topical,prodrug
chlorothiazide,2,-0.06,1,-1,-0.31,6.49,0,295.73,5,7,2,3,17,1,0,0,0,295.73,294.9488,0,0,118.69,0.75,0,1,1,1,0,0
rosiglitazone maleate,0,2.49,2,2.21,2.45,6.84,6.23,473.51,6,6,1,1,25,0,0,1,0,357.44,357.1147,0,0,71.53,0.82,0,7,1,0,0,0
brimonidine tartrate,2,1.76,2,0.42,1.37,0,8.32,292.14,5,5,2,2,17,0,0,1,0,292.14,291.012,0,0,62.2,0.84,0,1,0,0,1,0
pomalidomide,0,-0.33,1,-0.16,-0.16,11.59,1.56,273.25,5,7,2,3,20,0,0,1,0,273.25,273.075,0,0,109.57,0.54,0,1,1,0,0,0
calcitriol,1,5.7,0,4.35,4.35,0,0,416.65,3,3,3,3,30,0,0,1,0,416.65,416.329,1,1,60.69,0.52,0,6,1,1,1,0
chembl847,0,1.81,1,-0.85,1.57,0,9.89,279.34,5,6,3,3,20,0,1,0,0,279.34,279.1583,0,0,87.43,0.56,0,5,1,0,0,0
lenalidomide,0,0.03,1,-0.71,-0.71,11.61,2.31,259.26,4,6,2,3,19,0,0,1,0,259.26,259.0957,0,0,92.5,0.55,0,1,1,0,0,0
chembl42336,1,0.15,0,-2.19,-2.19,2.53,9.5,149.22,3,3,2,3,9,0,0,0,1,149.22,149.051,0,0,63.32,0.6,0,4,0,0,0,0
chembl42403,2,0,0,0,0,0,0,61.83,0,0,0,0,0,0,0,0,0,61.83,62.0175,0,0,0,0,0,0,0,0,0,0
chembl849,2,5.14,2,4.8,4.98,7.68,0,289.55,2,2,1,1,17,0,0,1,0,289.55,287.9512,1,1,29.46,0.83,0,2,0,0,1,0
chembl850,1,2.08,2,-0.07,-0.07,5.56,8.79,392.41,6,7,3,4,28,0,0,0,1,392.41,392.166,0,0,100.59,0.69,0,3,1,0,0,0
melphalan flufenamide,1,1.93,1,0.25,0.25,1.29,9.51,305.21,3,4,2,3,19,0,0,0,1,305.21,304.0745,0,0,66.56,0.72,0,8,1,0,0,0
chembl297302,2,4.18,3,2.63,3.79,12.66,8.53,381.45,5,5,1,1,28,0,1,0,0,381.45,381.1853,0,0,58.36,0.65,0,6,0,0,0,0
chembl853,1,-0.5,1,-1.19,-1.19,0,0,211.22,6,6,2,3,15,0,0,1,0,211.22,211.0957,0,0,90.37,0.69,0,2,1,0,0,1
chembl855,2,3.92,2,2.79,4.05,0,8.64,278.4,2,2,0,0,21,0,1,0,0,278.4,278.1783,0,0,16.13,0.84,0,4,1,0,0,0
chembl45029,0,1.04,1,1.33,1.63,7.4,0,246.27,3,5,1,1,18,0,0,1,0,246.27,246.1004,0,0,66.48,0.79,0,2,0,0,0,0
chembl46399,0,4.16,2,1.97,4.08,9.96,10.86,321.46,2,2,1,1,24,0,1,0,0,321.46,321.2093,0,0,23.47,0.92,0,3,0,0,0,0
chembl296419,2,5.35,4,4.01,5.39,0,8.73,458.58,5,5,1,1,34,0,1,0,0,458.58,458.2482,1,1,42.32,0.39,0,8,1,0,0,0
chembl46740,2,6.33,4,4.72,6,9.62,9.08,470.61,5,5,2,2,35,0,1,0,0,470.61,470.2569,1,1,57.86,0.33,0,7,1,0,0,0
primidone,2,0.54,1,1.12,1.12,11.5,0,218.26,2,4,2,2,16,0,0,1,0,218.26,218.1055,0,0,58.2,0.71,1,2,1,0,0,0
chembl859,2,-1.06,2,0.23,0.3,8.18,0,152.11,3,6,3,3,11,0,0,1,0,152.11,152.0334,0,0,94.4,0.45,0,0,0,0,0,0
chembl861,0,1.47,1,1.67,1.67,11.09,0,218.26,2,4,1,1,16,0,0,1,0,218.26,218.1055,0,0,49.41,0.76,1,2,1,0,0,0
chembl46917,2,2.56,2,2.46,2.46,0,0,201.22,2,3,1,1,15,0,0,1,0,201.22,201.079,0,0,38.33,0.77,1,1,0,0,0,0
guanfacine,2,1.55,1,0.49,1.74,11.64,8.65,246.1,2,4,3,4,15,0,1,0,0,246.1,245.0123,0,0,78.97,0.55,0,2,1,0,0,0
chembl46516,2,5.31,3,3.87,5.78,11.99,9.31,475.58,3,4,1,1,35,0,1,0,0,475.58,475.2435,1,1,35.58,0.5,0,7,0,0,0,0
chembl864,0,3.4,2,1.79,3.27,0,8.87,290.79,3,3,0,0,20,0,1,0,0,290.79,290.1186,0,0,25.36,0.82,0,6,1,0,0,0
chembl43064,2,5.11,3,5.1,5.88,0,8.1,368.52,2,2,0,0,28,0,0,1,0,368.52,368.2252,1,1,6.48,0.6,0,6,0,0,0,0
chembl45305,2,3.92,2,2.64,2.89,0,7.3,393.87,3,4,1,1,27,0,0,1,0,393.87,393.1419,0,0,45.23,0.84,0,5,0,0,0,0
anthralin,2,2.23,2,4.21,4.24,8.47,0,226.23,3,3,2,2,17,0,0,1,0,226.23,226.063,0,0,57.53,0.62,1,0,0,0,0,0
chembl865,2,2.96,3,2.82,2.82,10.06,0.42,314.37,4,5,1,2,22,0,0,1,0,314.37,314.0725,0,0,86.19,0.8,0,3,1,0,0,0
chembl296913,2,3.53,3,2.57,3.51,4.24,0.42,392.41,5,6,1,1,26,1,0,0,0,370.43,370.0987,0,0,89.27,0.74,0,5,0,0,0,1
ethambutol hydrochloride,1,-0.29,0,-2.25,-0.06,0,9.55,204.31,4,4,4,4,14,0,1,0,0,204.31,204.1838,0,0,64.52,0.39,0,9,1,0,0,0
chembl46058,2,1.25,0,1.19,1.19,0,0,64.52,0,0,0,0,3,0,0,0,0,64.52,64.008,0,0,0,0.37,1,0,0,0,0,0
chembl866,2,2.73,1,0.17,3.53,3.57,0,320.34,5,6,2,2,23,1,0,0,0,320.34,320.126,0,0,93.06,0.62,0,6,1,0,0,0
etoposide,1,1.34,2,1.16,1.16,9.33,0,588.56,13,13,3,3,42,0,0,1,0,588.56,588.1843,2,2,160.83,0.43,0,5,1,1,0,0
omacetaxine mepesuccinate,1,2.58,1,-0.12,1.88,12.09,9.42,545.63,10,10,2,2,39,0,1,0,0,545.63,545.2625,1,1,123.99,0.45,0,9,0,1,0,0
vancomycin hydrochloride,1,0,0,0,0,0,0,1449.27,0,0,0,0,0,0,0,0,0,1449.27,1447.4302,0,0,0,0,0,0,1,1,0,0
chembl869,2,0.19,1,-0.14,-0.14,11.79,0,198.14,5,8,2,3,14,0,0,1,0,198.14,198.0389,0,0,123.76,0.41,0,3,0,0,1,1
alendronate sodium,2,-1.27,0,-6.56,-4.19,0.69,9.91,249.1,4,8,6,7,14,0,0,0,1,249.1,249.0167,1,1,161.31,0.33,0,5,1,0,0,0
chembl871,2,-0.99,0,-7.2,-2.28,0.7,0,206.03,3,7,5,5,11,1,0,0,0,206.03,205.9745,0,0,135.29,0.37,0,2,1,1,0,0
chembl159,1,3.99,3,1.81,4.18,10.87,8.86,810.99,12,13,3,3,59,0,1,0,0,810.99,810.4204,2,2,154.1,0.18,0,7,0,1,0,0
chembl296468,2,3.66,2,0.33,0.94,7.94,10.17,380.54,7,6,2,2,25,0,1,0,0,380.54,380.1341,0,0,80.05,0.77,0,5,0,0,0,0
chembl45816,1,5.27,3,2.75,5.16,12.54,9.82,495.64,5,6,1,1,36,0,1,0,0,495.64,495.2897,1,1,67.45,0.37,0,11,1,0,0,0
tafenoquine succinate,0,5.91,3,2.37,4.97,0,10.2,463.5,6,6,2,3,33,0,1,0,0,463.5,463.2083,1,1,78.63,0.41,0,9,1,0,0,0
chembl160,1,0,0,0,0,0,0,1202.63,0,0,0,0,0,0,0,0,0,1202.63,1201.8414,0,0,0,0,0,0,1,1,1,0
chembl49429,2,6.05,4,5.98,5.98,0,0,473.94,3,5,1,1,34,0,0,1,0,473.94,473.1306,1,1,54.34,0.39,0,3,0,0,0,0
tranexamic acid,1,0.84,0,-1.55,-1.55,4.56,10.22,157.21,2,3,2,3,11,0,0,0,1,157.21,157.1103,0,0,63.32,0.62,0,2,1,1,0,0
metolazone,0,2.71,2,2.94,2.94,9.54,0,365.84,4,6,2,3,24,0,0,1,0,365.84,365.0601,0,0,92.5,0.86,0,2,1,0,0,0
famciclovir,2,0.54,2,-0.48,-0.48,0,3.65,321.34,9,9,1,2,23,0,0,1,0,321.34,321.1437,0,0,122.22,0.73,0,7,1,0,0,1
chembl49080,0,3,1,0.14,2.33,0,9.63,277.2,3,3,3,4,17,0,1,0,0,277.2,276.0796,0,0,58.28,0.74,1,3,0,0,0,0
emtricitabine,1,-0.46,1,-0.9,-0.9,0,0,247.25,7,6,2,3,16,0,0,1,0,247.25,247.0427,0,0,90.37,0.73,0,2,1,0,0,1
chembl49120,2,5.77,4,3.74,5.7,0,9.37,512.44,7,7,1,1,35,0,1,0,0,512.44,511.1542,2,2,72.28,0.31,0,9,0,0,0,0
rasagiline,1,1.9,1,1.27,2.3,0,8.4,171.24,1,1,1,1,13,0,0,1,0,171.24,171.1048,0,0,12.03,0.67,1,2,1,0,0,0
gemcitabine,1,-1.29,1,-1.47,-1.47,11.52,0,263.2,7,7,3,4,18,0,0,1,0,263.2,263.0718,0,0,110.6,0.61,0,2,0,1,0,1
chembl431733,1,1.06,3,1.51,1.51,12.39,1.96,544.74,9,10,4,4,30,0,0,1,0,544.74,544.0123,1,1,134.42,0.28,0,5,0,0,0,0
lactulose,1,-5.4,0,-4.53,-4.53,10.28,0,342.3,11,11,8,8,23,0,0,1,0,342.3,342.1162,2,2,189.53,0.24,0,5,1,0,1,0
chembl52333,1,2.78,2,3.2,3.23,8.4,2.44,356.47,5,6,1,1,26,0,0,1,0,356.47,356.2212,0,0,72.68,0.9,0,5,0,0,0,0
safinamide mesylate,1,2.37,2,1.84,2.48,0,7.93,398.46,3,4,2,3,22,0,0,1,0,302.35,302.1431,0,0,64.35,0.83,0,7,1,0,0,0
butorphanol tartrate,1,3.37,1,0.81,2.89,9.86,10.7,477.55,3,3,2,2,24,0,1,0,0,327.47,327.2198,0,0,43.7,0.88,0,2,0,1,1,0
chembl893,1,3.2,2,-0.38,2.91,3.75,0,470.33,6,8,2,2,30,1,0,0,0,470.33,469.0266,0,0,112.74,0.66,0,4,1,0,0,0
bupropion,0,3.3,1,2.39,3.27,0,8.22,239.75,2,2,1,1,16,0,0,1,0,239.75,239.1077,0,0,29.1,0.82,0,3,1,0,0,0
nalbuphine hci,1,1.71,1,-0.73,1.19,10.39,9.62,357.45,5,5,3,3,26,0,1,0,0,357.45,357.194,0,0,73.16,0.75,0,2,0,0,0,0
brompheniramine- pseudoephedrine- dextromethorphan,1,3.38,1,1.08,3.49,0,9.85,271.4,2,2,0,0,20,0,1,0,0,271.4,271.1936,0,0,12.47,0.78,0,1,1,0,0,0
hydroxyzine hydrochloride,0,3.06,2,3.09,3.41,0,7.45,374.91,4,4,1,1,26,0,0,1,0,374.91,374.1761,0,0,35.94,0.72,0,8,1,1,0,0
probenecid,2,2.2,1,-0.92,2.44,3.53,0,285.36,3,5,1,1,19,1,0,0,0,285.36,285.1035,0,0,74.68,0.83,0,7,1,0,0,0
diflunisal,2,3.04,2,0.41,3.91,2.69,0,250.2,2,3,2,2,18,1,0,0,0,250.2,250.0442,0,0,57.53,0.86,0,2,1,0,0,0
chembl440115,1,3.78,3,3.62,3.62,0,1.61,375.47,4,5,1,1,28,0,0,1,0,375.47,375.1947,0,0,57.84,0.69,0,5,0,0,0,0
orphenadrine citrate- aspirin- caffeine,0,3.66,2,2.69,4.17,0,8.87,269.39,2,2,0,0,20,0,1,0,0,269.39,269.178,0,0,12.47,0.79,0,6,1,1,0,0
famotidine,2,-0.77,1,-2.67,-1.95,9.29,8.38,337.46,6,9,4,8,20,0,0,1,0,337.46,337.0449,1,0,175.83,0.29,0,7,1,1,0,0
chembl53463,1,0,2,0.1,0.53,8,9.03,543.53,12,12,6,7,39,0,1,0,0,543.53,543.1741,3,3,206.07,0.24,0,5,0,0,0,0
dexmethylphenidate hydrochloride,1,2.09,1,0.57,2.25,0,9.09,269.77,3,3,1,1,17,0,1,0,0,233.31,233.1416,0,0,38.33,0.81,1,3,1,0,0,0
rizatriptan,2,1.91,3,-0.37,1.77,0,9.56,269.35,4,5,1,1,20,0,1,0,0,269.35,269.164,0,0,49.74,0.77,0,5,1,0,0,0
neostigmine,2,1.94,1,-2.25,-2.25,0,0,303.2,2,4,0,0,16,0,0,0,0,223.3,223.1441,0,0,29.54,0.72,1,2,0,0,0,0
chembl908,2,5.19,2,2.73,5.07,0,9.76,315.87,2,1,0,0,21,0,1,0,0,315.87,315.0848,1,1,3.24,0.65,0,3,1,1,0,0
zolpidem tartrate,2,3.25,3,3.01,3.02,0,5.39,307.4,3,4,0,0,23,0,0,1,0,307.4,307.1685,0,0,37.61,0.74,0,3,1,0,1,0
fexofenadine hydrochloride,0,5.51,3,2.93,2.94,4.04,9.01,501.67,4,5,3,3,37,0,0,0,1,501.67,501.2879,2,2,81,0.34,0,10,1,0,0,0
chembl52885,2,3.15,4,3.28,3.29,9.71,0,400.39,6,8,1,1,30,0,0,1,0,400.39,400.1172,0,0,99.17,0.32,0,3,0,0,0,0
chembl915,2,2.48,3,-4.52,2.5,2.06,0,415.31,6,8,2,2,27,1,0,0,0,371.35,371.1005,0,0,126.81,0.66,0,5,0,0,1,0
tirofiban,1,2.95,1,0.6,0.6,3.17,10.21,440.61,5,7,3,3,30,0,0,0,1,440.61,440.2345,0,0,104.73,0.38,0,14,0,1,0,0
floxuridine,1,-1.68,1,-1.4,-1.32,8.08,0,246.19,6,7,3,3,17,0,0,1,0,246.19,246.0652,0,0,104.55,0.58,0,2,0,1,0,0
chembl918,2,0.42,1,0.46,0.46,11.75,0,178.19,2,4,2,3,13,0,0,1,0,178.19,178.0742,0,0,72.19,0.69,0,2,1,0,0,0
fosphenytoin sodium,2,1.55,2,-1.65,1.67,1.46,0,406.24,4,8,3,3,25,1,0,0,0,362.28,362.0668,0,0,116.17,0.55,0,5,0,1,0,1
chembl300138,2,4.93,5,3.02,3.81,9.73,8.28,515.62,6,7,1,1,39,0,0,1,0,515.62,515.2321,1,1,72.16,0.34,0,5,0,0,0,0
adefovir dipivoxil,2,2.7,2,3.06,3.06,0,3.75,501.48,13,13,1,2,34,0,0,1,0,501.48,501.1988,2,2,166.98,0.21,0,11,1,0,0,1
ceftriaxone sodium,1,-1.2,2,-5.53,-1,2.72,3.54,554.59,15,15,4,5,36,1,0,0,0,554.59,554.0461,2,2,215.22,0.13,0,8,0,1,0,0
risedronate sodium hemi-pentahydrate,2,-0.37,1,-6.73,-3.32,0.68,4.91,283.11,4,8,5,5,17,1,0,0,0,283.11,283.0011,0,0,148.18,0.47,0,4,1,0,0,0
zoledronic acid,2,-1.12,1,-7.39,-3.85,0.66,6.67,272.09,5,9,5,5,16,1,0,0,0,272.09,271.9963,0,0,153.11,0.43,0,4,0,1,0,0
anidulafungin,1,0,0,0,0,0,0,1140.25,0,0,0,0,0,0,0,0,0,1140.25,1139.5063,0,0,0,0,0,0,0,1,0,0
dobutamine,0,2.96,2,1.16,2.62,10.14,9.27,301.39,4,4,4,4,22,0,1,0,0,301.39,301.1678,0,0,72.72,0.59,0,7,0,1,0,0
cefdinir,1,-0.17,1,-3.7,-0.89,2.73,3.61,395.42,9,10,4,5,26,1,0,0,0,395.42,395.0358,0,0,158.21,0.23,0,5,1,0,0,0
chembl54976,1,1.12,2,-1.09,-1.09,2.54,9.4,204.23,2,4,3,4,15,0,0,0,1,204.23,204.0899,0,0,79.11,0.7,0,3,0,0,0,0
dantrolene sodium,2,1.74,2,1.2,1.26,8.23,0,336.24,6,9,1,1,23,0,0,1,0,314.26,314.0651,0,0,118.05,0.4,0,4,1,1,0,0
lonafarnib,1,5.91,2,4.74,4.74,0,3.28,638.83,3,6,1,2,36,0,0,1,0,638.83,636.0502,2,2,79.53,0.45,0,3,1,0,0,0
chembl929,2,2.72,3,0.92,1.02,9.39,6.82,552.68,6,9,3,3,32,0,0,1,0,456.57,456.1944,0,0,110.43,0.53,0,6,1,0,0,0
chembl930,1,-1.34,0,-4.01,-4,2.15,9.31,146.15,3,5,3,5,10,0,0,0,1,146.15,146.0691,0,0,106.41,0.46,0,4,1,0,0,0
chembl56367,2,2.76,2,1.2,1.79,6.7,0,308.31,5,7,1,1,21,0,0,1,0,308.31,308.0467,0,0,98.54,0.68,0,5,0,0,0,0
chembl931,0,2.51,0,2.12,2.12,0,0,197.38,0,0,0,0,7,0,0,1,0,197.38,195.8902,0,0,0,0.52,1,0,0,0,1,0
dipyridamole,2,-0.02,2,1.81,1.81,0,3.54,504.64,12,12,4,4,36,0,0,1,0,504.64,504.3173,2,2,145.44,0.31,0,12,1,1,0,0
chembl936,2,4.19,2,2.39,4.22,13.4,9.23,309.45,2,2,1,1,23,0,1,0,0,309.45,309.2093,0,0,23.47,0.86,0,6,1,0,0,0
chembl937,2,0.7,0,-0.03,0.09,0,6.9,391.42,2,4,0,0,14,0,0,1,0,199.3,199.1685,0,0,26.79,0.65,1,2,1,0,0,0
chembl938,1,-2.3,2,-5.57,-4.63,3.8,11.47,912.06,12,23,13,14,65,0,0,0,1,912.06,911.4977,3,3,355.05,0.03,0,25,0,1,0,0
ritonavir 100 mg,1,5.91,4,5.22,5.22,13.68,2.84,720.96,9,11,4,4,50,0,0,1,0,720.96,720.3128,3,2,145.78,0.11,0,17,1,0,0,0
gefitinib,2,4.28,3,3.64,3.75,0,6.85,446.91,7,7,1,1,31,0,0,1,0,446.91,446.1521,0,0,68.74,0.52,0,8,1,0,0,0
chembl55400,2,2.55,3,0.94,1.85,0,8.32,209.25,3,3,2,4,16,0,0,1,0,209.25,209.0953,0,0,64.93,0.44,0,0,0,0,0,0
gabapentin,2,1.37,0,-1.27,-1.27,4.63,9.91,171.24,2,3,2,3,12,0,0,0,1,171.24,171.1259,0,0,63.32,0.67,0,3,1,0,0,0
chembl301267,1,3.23,0,3.84,3.84,0,0,312.41,5,5,0,0,22,0,0,1,0,312.41,312.1937,0,0,46.15,0.73,0,2,0,1,0,1
lacosamide,1,0.45,1,-0.02,-0.02,12.46,0,250.3,3,5,2,2,18,0,0,1,0,250.3,250.1317,0,0,67.43,0.77,0,6,1,1,0,0
imatinib,2,4.59,4,3.8,4.38,12.69,7.84,493.62,7,8,2,2,37,0,0,1,0,493.62,493.259,0,0,86.28,0.39,0,7,1,0,0,0
chembl56564,1,2.95,2,0.7,2.63,12.18,9.34,284.36,3,4,1,1,21,0,1,0,0,284.36,284.1525,0,0,45.33,0.86,1,2,0,0,0,0
pramipexole dihydrochloride,1,1.58,1,-0.98,1.76,0,10.31,211.33,4,3,2,3,14,0,1,0,0,211.33,211.1143,0,0,50.94,0.8,0,3,1,0,0,0
chembl942,2,4.11,3,3.61,3.61,0,4.08,361.4,5,5,0,0,27,0,0,1,0,361.4,361.1314,0,0,65.49,0.51,0,5,1,0,0,0
chloroprocaine hydrochloride,2,2.42,1,0.92,2.48,0,8.96,307.22,4,4,1,2,18,0,1,0,0,270.76,270.1135,0,0,55.56,0.64,0,6,0,1,0,0
amiloride hydrocloride,2,-1.08,1,-0.77,-0.5,11.43,7.35,229.63,6,8,5,8,15,0,0,1,0,229.63,229.0479,1,0,156.79,0.3,0,1,1,0,0,0
chembl946,2,3.71,2,3.12,3.75,0,7.91,290.41,2,2,0,0,22,0,0,1,0,290.41,290.1783,0,0,16.13,0.74,0,0,1,0,0,0
chloroquine phosphate,0,4.81,2,0.88,3.93,0,10.32,515.87,3,3,1,1,22,0,1,0,0,319.88,319.1815,0,0,28.16,0.76,0,8,1,0,0,0
diclofenac sodium- capsaicin,2,3.79,1,3.75,3.75,9.93,0,305.42,3,4,2,2,22,0,0,1,0,305.42,305.1991,0,0,58.56,0.54,0,9,0,0,1,0
entacapone,2,1.78,1,0.38,1.63,6.09,0,305.29,6,8,2,2,22,1,0,0,0,305.29,305.1012,0,0,127.7,0.28,0,5,1,0,0,0
chembl61593,0,1.23,1,0.94,0.94,9.06,0,389.89,5,7,3,4,24,0,0,1,0,389.89,389.0271,0,0,118.36,0.66,0,2,1,0,0,0
chembl954,2,6.56,3,4.57,6.47,0,9.31,405.97,2,2,0,0,29,0,1,0,0,405.97,405.1859,1,1,12.47,0.37,0,9,0,0,0,1
chembl956,0,3.17,2,0.37,3.53,4.01,0,260.31,3,3,1,1,18,1,0,0,0,260.31,260.0507,0,0,54.37,0.86,0,4,0,0,1,0
bosentan,2,4.2,4,3.98,4.94,5.8,0.57,551.63,10,11,2,2,39,1,0,0,0,551.63,551.1839,2,1,145.65,0.29,0,10,1,0,0,0
chembl959,0,2.55,0,-0.35,2.22,0,10.14,179.31,1,1,1,2,13,0,1,0,0,179.31,179.1674,0,0,26.02,0.66,1,1,1,0,0,0
leflunomide,2,3.25,2,2.51,2.51,13.72,0,270.21,3,4,1,1,19,0,0,1,0,270.21,270.0616,0,0,55.13,0.91,0,2,1,0,0,1
chembl62193,2,0.88,2,0.78,1.26,6.91,1.99,310.34,7,8,2,3,21,0,0,1,0,310.34,310.0736,0,0,116.43,0.79,0,5,0,0,0,0
chembl61780,2,3.21,5,1.88,4.34,4.99,3.1,605.64,13,15,3,3,43,1,0,0,0,605.64,605.1805,2,2,200.11,0.19,0,12,0,0,0,0
chembl61006,0,1.07,1,-1.05,0.89,13.9,9.37,151.21,2,2,2,3,11,0,1,0,0,151.21,151.0997,0,0,46.25,0.66,1,2,1,0,0,0
epoprostenol sodium,1,3.41,0,-0.45,2.42,4.43,0,374.45,4,5,3,3,25,1,0,0,0,352.47,352.225,0,0,86.99,0.41,0,10,0,1,0,0
chembl963,1,0.75,1,0.01,0.78,10.07,8.21,301.34,5,5,2,2,22,0,0,1,0,301.34,301.1314,0,0,70,0.74,0,0,1,1,1,0
disulfiram,2,3.62,0,4.16,4.16,0,0,296.55,4,2,0,0,16,0,0,0,0,296.55,296.0509,0,0,6.48,0.57,0,4,1,0,0,0
chembl292376,1,4.63,2,2.74,4.85,0,9.54,303.83,2,2,1,1,21,0,1,0,0,303.83,303.139,0,0,21.26,0.75,0,7,0,0,0,0
carbachol,2,-0.21,0,-4.55,-4.55,0,0,147.2,2,4,1,2,10,0,0,1,0,147.2,147.1128,0,0,52.32,0.56,1,3,0,1,0,0
temazepam,0,2.47,2,2.79,2.79,10.68,0,300.75,3,4,1,1,21,0,0,1,0,300.75,300.0666,0,0,52.9,0.88,0,1,1,0,0,0
flurazepam hydrochloride,2,4,2,2.62,3.95,0,8.71,387.89,3,4,0,0,27,0,1,0,0,387.89,387.1514,0,0,35.91,0.75,0,6,1,0,0,0
chembl969,2,3.93,2,3.86,3.86,0,3.06,324.81,2,3,0,0,23,0,0,1,0,324.81,324.1029,0,0,32.67,0.84,0,3,1,0,0,0
chembl970,2,4.09,2,4.03,4.03,0,2.33,352.74,2,3,0,0,24,0,0,1,0,352.74,352.059,0,0,32.67,0.8,0,2,1,0,0,0
pentobarbital sodium,0,1.18,0,1.64,1.89,7.48,0,248.26,3,5,2,2,16,0,0,1,0,226.28,226.1317,0,0,75.27,0.71,0,4,1,1,1,0
selegiline,1,2.18,1,1.55,2.85,0,8.67,187.29,1,1,0,0,14,0,1,0,0,187.29,187.1361,0,0,3.24,0.65,0,4,1,0,1,0
teriflunomide,2,3,1,0.23,2.14,5.48,0,270.21,3,4,2,2,19,1,0,0,0,270.21,270.0616,0,0,73.12,0.49,0,2,1,0,0,0
mesna,2,-0.2,0,-2.78,-0.4,-1.16,0,164.18,3,3,2,1,7,1,0,0,0,142.2,141.9758,0,0,54.37,0.41,1,2,1,1,0,0
chembl64391,0,5.58,5,7.31,7.31,0,3.91,705.65,12,12,0,0,49,0,0,1,0,705.65,704.2393,3,3,104.7,0.17,0,11,1,1,0,0
chembl303960,1,2.94,1,2.61,2.61,0,0,450.6,7,6,2,2,31,0,0,1,0,450.6,450.2076,0,0,93.06,0.27,0,13,0,0,0,0
chembl64894,2,4.46,2,1.39,1.4,0,4.83,407.99,2,3,0,0,28,0,0,1,0,372.54,372.2434,0,0,9.49,0.73,0,4,0,0,1,0
praziquantel,0,2.53,1,2.3,2.3,0,0,312.41,2,4,0,0,23,0,0,1,0,312.41,312.1838,0,0,40.62,0.8,0,1,1,0,0,0
chembl977,1,2.2,0,-1.78,1.54,3.66,0,462.54,7,8,3,3,33,1,0,0,0,462.54,462.2254,0,0,138.2,0.51,0,6,0,1,0,1
chembl978,0,0.64,0,-3.8,-3.8,0,0,160.24,2,3,0,0,11,0,0,1,0,160.24,160.1332,0,0,26.3,0.45,1,3,0,0,1,0
chembl435966,2,0.12,1,-0.11,-0.09,0,6.05,226.24,6,7,0,0,16,0,0,1,0,226.24,226.1066,0,0,73.43,0.54,0,4,0,0,0,0
meprobamate,2,0.98,0,0.93,0.93,0,0,218.25,4,6,2,4,15,0,0,1,0,218.25,218.1267,0,0,104.64,0.69,0,6,1,0,0,0
chembl64195,2,1.93,1,1.69,1.69,0,0,197.66,1,2,1,1,13,0,0,1,0,197.66,197.0607,0,0,29.1,0.73,0,4,0,0,0,0
chembl980,0,0.43,1,0.34,0.34,13.62,0,198.22,4,4,2,2,14,0,0,1,0,198.22,198.0892,0,0,58.92,0.72,0,5,1,0,0,0
fenofibric acid,2,3.81,2,0.9,4.36,3.1,0,318.76,3,4,1,1,22,1,0,0,0,318.76,318.0659,0,0,63.6,0.85,0,5,1,0,0,0
chembl982,1,2.51,1,0.07,1.95,10.35,9.57,339.44,4,4,2,2,25,0,1,0,0,339.44,339.1834,0,0,52.93,0.81,0,2,0,1,0,0
succinylcholine chloride,2,0.27,0,-8.39,-8.39,0,0,361.31,4,6,0,0,20,0,0,1,0,290.4,290.2195,0,0,52.6,0.45,0,9,0,1,0,0
chembl984,0,0,0,0,0,0,0,1100.18,0,0,0,0,0,0,0,0,0,1029.28,1028.5599,0,0,0,0,0,0,0,1,0,0
chembl65375,1,1.11,1,-1.36,0.78,10.49,11.34,279.13,5,6,3,3,16,0,1,0,0,242.67,242.0571,0,0,93.33,0.72,0,2,1,0,0,0
chembl291657,1,7.52,3,8.88,8.88,0,2.52,483.05,4,3,0,0,33,0,0,1,0,483.05,482.1595,1,1,25.36,0.31,0,8,0,0,0,0
chembl304902,2,4.13,2,3.92,4.15,0,7.23,343.88,4,3,0,0,23,0,0,1,0,343.88,343.091,0,0,18.84,0.72,0,0,0,0,0,0
chembl68055,1,6.03,3,4.43,4.91,8.39,8.87,457.57,5,5,2,2,34,0,1,0,0,457.57,457.2253,1,1,62.16,0.47,0,6,0,0,0,0
chembl305187,0,3.77,2,2.3,3.57,9.67,9.03,325.45,3,3,2,2,24,0,1,0,0,325.45,325.2042,0,0,43.7,0.88,0,5,0,0,0,0
chembl65794,1,-1.04,2,-3.65,-4.02,2.67,3.54,514.59,10,11,2,3,35,1,0,0,0,514.59,514.1093,2,1,153.92,0.21,0,7,0,0,0,0
fluocinolone acetonide,1,2.37,0,1.6,1.6,13.38,0,452.49,6,6,2,2,32,0,0,1,0,452.49,452.201,0,0,93.06,0.67,0,2,0,1,1,0
chembl990,2,5.77,3,4.51,6.17,0,9.06,317.48,1,1,0,0,24,0,1,0,0,317.48,317.2143,1,1,3.24,0.59,0,4,0,0,1,0
chembl70246,2,-1.48,2,-4.5,-1.07,3.26,0,238.2,7,8,1,1,17,1,0,0,0,238.2,238.0702,0,0,99.12,0.69,0,2,0,0,0,0
stavudine,1,-0.71,1,-0.23,-0.23,9.95,0,224.22,5,6,2,2,16,0,0,1,0,224.22,224.0797,0,0,84.32,0.65,0,2,1,0,0,1
